x,y,z,yaw
3.56,1.27,2.0,-13.62
3.57,1.27,2.0,-14.03
3.58,1.26,2.0,-14.45
3.59,1.26,2.0,-14.87
3.6,1.26,2.0,-15.3
3.61,1.26,2.0,-15.72
3.62,1.25,2.0,-16.15
3.63,1.25,2.0,-16.59
3.64,1.25,2.0,-17.02
3.65,1.24,2.0,-17.46
3.66,1.24,2.0,-17.9
3.67,1.24,2.0,-18.35
3.68,1.24,2.0,-18.8
3.69,1.23,2.0,-19.24
3.7,1.23,2.0,-19.7
3.7,1.23,2.0,-20.15
3.71,1.22,2.0,-20.61
3.72,1.22,2.0,-21.07
3.73,1.21,2.0,-21.53
3.74,1.21,2.0,-22.0
3.75,1.21,2.0,-22.46
3.76,1.2,2.0,-22.93
3.77,1.2,2.0,-23.4
3.78,1.2,2.0,-23.88
3.79,1.19,2.0,-24.36
3.8,1.19,2.0,-24.83
3.81,1.18,2.0,-25.31
3.82,1.18,2.0,-25.8
3.82,1.17,2.0,-26.28
3.83,1.17,2.0,-26.77
3.84,1.17,2.0,-27.25
3.85,1.16,2.0,-27.74
3.86,1.16,2.0,-28.23
3.87,1.15,2.0,-28.73
3.88,1.15,2.0,-29.22
3.89,1.14,2.0,-29.72
3.89,1.14,2.0,-30.21
3.9,1.13,2.0,-30.71
3.91,1.13,2.0,-31.21
3.92,1.12,2.0,-31.71
3.93,1.12,2.0,-32.21
3.94,1.11,2.0,-32.72
3.95,1.11,2.0,-33.22
3.95,1.1,2.0,-33.72
3.96,1.09,2.0,-34.23
3.97,1.09,2.0,-34.73
3.98,1.08,2.0,-35.24
3.99,1.08,2.0,-35.75
3.99,1.07,2.0,-36.25
4.0,1.06,2.0,-36.76
4.01,1.06,2.0,-37.27
4.02,1.05,2.0,-37.78
4.03,1.05,2.0,-38.28
4.03,1.04,2.0,-38.79
4.04,1.03,2.0,-39.3
4.05,1.03,2.0,-39.81
4.06,1.02,2.0,-40.32
4.07,1.01,2.0,-40.82
4.07,1.01,2.0,-41.33
4.08,1.0,2.0,-41.84
4.09,0.99,2.0,-42.34
4.1,0.99,2.0,-42.85
4.1,0.98,2.0,-43.36
4.11,0.97,2.0,-43.86
4.12,0.97,2.0,-44.36
4.12,0.96,2.0,-44.87
4.13,0.95,2.0,-45.37
4.14,0.95,2.0,-45.87
4.14,0.94,2.0,-46.37
4.15,0.93,2.0,-46.87
4.16,0.92,2.0,-47.37
4.17,0.92,2.0,-47.87
4.17,0.91,2.0,-48.36
4.18,0.9,2.0,-48.86
4.19,0.89,2.0,-49.35
4.19,0.89,2.0,-49.84
4.2,0.88,2.0,-50.33
4.2,0.87,2.0,-50.82
4.21,0.86,2.0,-51.31
4.22,0.86,2.0,-51.8
4.22,0.85,2.0,-52.28
4.23,0.84,2.0,-52.77
4.24,0.83,2.0,-53.25
4.24,0.82,2.0,-53.73
4.25,0.82,2.0,-54.21
4.25,0.81,2.0,-54.69
4.26,0.8,2.0,-55.16
4.26,0.79,2.0,-55.64
4.27,0.78,2.0,-56.11
4.28,0.77,2.0,-56.58
4.28,0.77,2.0,-57.05
4.29,0.76,2.0,-57.51
4.29,0.75,2.0,-57.98
4.3,0.74,2.0,-58.44
4.3,0.73,2.0,-58.9
4.31,0.72,2.0,-59.36
4.31,0.72,2.0,-59.82
4.32,0.71,2.0,-60.28
4.32,0.7,2.0,-60.73
4.33,0.69,2.0,-61.19
4.33,0.68,2.0,-61.64
4.34,0.67,2.0,-62.09
4.34,0.66,2.0,-62.53
4.35,0.65,2.0,-62.98
4.35,0.64,2.0,-63.42
4.35,0.64,2.0,-63.86
4.36,0.63,2.0,-64.3
4.36,0.62,2.0,-64.74
4.37,0.61,2.0,-65.18
4.37,0.6,2.0,-65.61
4.38,0.59,2.0,-66.05
4.38,0.58,2.0,-66.48
4.38,0.57,2.0,-66.91
4.39,0.56,2.0,-67.34
4.39,0.55,2.0,-67.76
4.4,0.54,2.0,-68.19
4.4,0.54,2.0,-68.61
4.4,0.53,2.0,-69.03
4.41,0.52,2.0,-69.45
4.41,0.51,2.0,-69.87
4.41,0.5,2.0,-70.29
4.42,0.49,2.0,-70.7
4.42,0.48,2.0,-71.12
4.42,0.47,2.0,-71.53
4.43,0.46,2.0,-71.94
4.43,0.45,2.0,-72.35
4.43,0.44,2.0,-72.75
4.43,0.43,2.0,-73.16
4.44,0.42,2.0,-73.57
4.44,0.41,2.0,-73.97
4.44,0.4,2.0,-74.37
4.45,0.39,2.0,-74.77
4.45,0.38,2.0,-75.17
4.45,0.37,2.0,-75.57
4.45,0.36,2.0,-75.97
4.46,0.35,2.0,-76.36
4.46,0.34,2.0,-76.76
4.46,0.33,2.0,-77.15
4.46,0.32,2.0,-77.54
4.46,0.32,2.0,-77.94
4.47,0.31,2.0,-78.33
4.47,0.3,2.0,-78.72
4.47,0.29,2.0,-79.11
4.47,0.28,2.0,-79.49
4.47,0.27,2.0,-79.88
4.48,0.26,2.0,-80.27
4.48,0.25,2.0,-80.65
4.48,0.24,2.0,-81.03
4.48,0.23,2.0,-81.42
4.48,0.22,2.0,-81.8
4.48,0.21,2.0,-82.18
4.49,0.2,2.0,-82.56
4.49,0.19,2.0,-82.94
4.49,0.18,2.0,-83.32
4.49,0.17,2.0,-83.7
4.49,0.16,2.0,-84.08
4.49,0.15,2.0,-84.46
4.49,0.14,2.0,-84.84
4.49,0.13,2.0,-85.22
4.49,0.12,2.0,-85.59
4.49,0.11,2.0,-85.97
4.49,0.1,2.0,-86.34
4.5,0.09,2.0,-86.72
4.5,0.08,2.0,-87.1
4.5,0.07,2.0,-87.47
4.5,0.06,2.0,-87.85
4.5,0.05,2.0,-88.22
4.5,0.04,2.0,-88.6
4.5,0.03,2.0,-88.97
4.5,0.02,2.0,-89.35
4.5,0.01,2.0,-89.72
4.5,-0.0,2.0,-90.09
4.5,-0.01,2.0,-90.47
4.5,-0.02,2.0,-90.84
4.5,-0.03,2.0,-91.22
4.5,-0.04,2.0,-91.59
4.5,-0.05,2.0,-91.97
4.5,-0.06,2.0,-92.34
4.5,-0.07,2.0,-92.72
4.5,-0.08,2.0,-93.09
4.5,-0.09,2.0,-93.47
4.49,-0.1,2.0,-93.84
4.49,-0.11,2.0,-94.22
4.49,-0.12,2.0,-94.6
4.49,-0.13,2.0,-94.97
4.49,-0.14,2.0,-95.35
4.49,-0.15,2.0,-95.73
4.49,-0.16,2.0,-96.11
4.49,-0.17,2.0,-96.49
4.49,-0.18,2.0,-96.87
4.49,-0.19,2.0,-97.25
4.48,-0.2,2.0,-97.63
4.48,-0.21,2.0,-98.01
4.48,-0.22,2.0,-98.39
4.48,-0.23,2.0,-98.77
4.48,-0.24,2.0,-99.16
4.48,-0.25,2.0,-99.54
4.48,-0.26,2.0,-99.93
4.47,-0.27,2.0,-100.31
4.47,-0.28,2.0,-100.7
4.47,-0.29,2.0,-101.09
4.47,-0.3,2.0,-101.48
4.47,-0.31,2.0,-101.87
4.46,-0.32,2.0,-102.26
4.46,-0.33,2.0,-102.65
4.46,-0.34,2.0,-103.04
4.46,-0.35,2.0,-103.44
4.45,-0.36,2.0,-103.83
4.45,-0.37,2.0,-104.23
4.45,-0.38,2.0,-104.63
4.45,-0.39,2.0,-105.03
4.44,-0.4,2.0,-105.43
4.44,-0.41,2.0,-105.83
4.44,-0.42,2.0,-106.23
4.44,-0.43,2.0,-106.64
4.43,-0.44,2.0,-107.04
4.43,-0.45,2.0,-107.45
4.43,-0.46,2.0,-107.86
4.42,-0.46,2.0,-108.27
4.42,-0.47,2.0,-108.68
4.42,-0.48,2.0,-109.09
4.41,-0.49,2.0,-109.51
4.41,-0.5,2.0,-109.92
4.41,-0.51,2.0,-110.34
4.4,-0.52,2.0,-110.76
4.4,-0.53,2.0,-111.18
4.4,-0.54,2.0,-111.6
4.39,-0.55,2.0,-112.02
4.39,-0.56,2.0,-112.45
4.39,-0.57,2.0,-112.88
4.38,-0.58,2.0,-113.31
4.38,-0.59,2.0,-113.74
