x,y,z,yaw
0.99,-0.17,2.0,-9.63
0.98,-0.17,2.0,-10.02
0.98,-0.18,2.0,-10.41
0.98,-0.19,2.0,-10.8
0.98,-0.19,2.0,-11.19
0.98,-0.2,2.0,-11.59
0.98,-0.21,2.0,-11.99
0.98,-0.21,2.0,-12.39
0.98,-0.22,2.0,-12.8
0.97,-0.23,2.0,-13.21
0.97,-0.24,2.0,-13.62
0.97,-0.24,2.0,-14.03
0.97,-0.25,2.0,-14.45
0.97,-0.26,2.0,-14.87
0.96,-0.26,2.0,-15.3
0.96,-0.27,2.0,-15.72
0.96,-0.28,2.0,-16.15
0.96,-0.29,2.0,-16.59
0.96,-0.29,2.0,-17.02
0.95,-0.3,2.0,-17.46
0.95,-0.31,2.0,-17.9
0.95,-0.31,2.0,-18.35
0.95,-0.32,2.0,-18.8
0.94,-0.33,2.0,-19.24
0.94,-0.34,2.0,-19.7
0.94,-0.34,2.0,-20.15
0.94,-0.35,2.0,-20.61
0.93,-0.36,2.0,-21.07
0.93,-0.37,2.0,-21.53
0.93,-0.37,2.0,-22.0
0.92,-0.38,2.0,-22.46
0.92,-0.39,2.0,-22.93
0.92,-0.4,2.0,-23.4
0.91,-0.4,2.0,-23.88
0.91,-0.41,2.0,-24.36
0.91,-0.42,2.0,-24.83
0.9,-0.43,2.0,-25.31
0.9,-0.44,2.0,-25.8
0.9,-0.44,2.0,-26.28
0.89,-0.45,2.0,-26.77
0.89,-0.46,2.0,-27.25
0.89,-0.47,2.0,-27.74
0.88,-0.47,2.0,-28.23
0.88,-0.48,2.0,-28.73
0.87,-0.49,2.0,-29.22
0.87,-0.5,2.0,-29.72
0.86,-0.5,2.0,-30.21
0.86,-0.51,2.0,-30.71
0.86,-0.52,2.0,-31.21
0.85,-0.53,2.0,-31.71
0.85,-0.53,2.0,-32.21
0.84,-0.54,2.0,-32.72
0.84,-0.55,2.0,-33.22
0.83,-0.56,2.0,-33.72
0.83,-0.56,2.0,-34.23
0.82,-0.57,2.0,-34.73
0.82,-0.58,2.0,-35.24
0.81,-0.58,2.0,-35.75
0.81,-0.59,2.0,-36.25
0.8,-0.6,2.0,-36.76
0.8,-0.61,2.0,-37.27
0.79,-0.61,2.0,-37.78
0.78,-0.62,2.0,-38.28
0.78,-0.63,2.0,-38.79
0.77,-0.63,2.0,-39.3
0.77,-0.64,2.0,-39.81
0.76,-0.65,2.0,-40.32
0.76,-0.65,2.0,-40.82
0.75,-0.66,2.0,-41.33
0.75,-0.67,2.0,-41.84
0.74,-0.67,2.0,-42.34
0.73,-0.68,2.0,-42.85
0.73,-0.69,2.0,-43.36
0.72,-0.69,2.0,-43.86
0.71,-0.7,2.0,-44.36
0.71,-0.71,2.0,-44.87
0.7,-0.71,2.0,-45.37
0.7,-0.72,2.0,-45.87
0.69,-0.72,2.0,-46.37
0.68,-0.73,2.0,-46.87
0.68,-0.74,2.0,-47.37
0.67,-0.74,2.0,-47.87
0.66,-0.75,2.0,-48.36
0.66,-0.75,2.0,-48.86
0.65,-0.76,2.0,-49.35
0.64,-0.76,2.0,-49.84
0.64,-0.77,2.0,-50.33
0.63,-0.78,2.0,-50.82
0.63,-0.78,2.0,-51.31
0.62,-0.79,2.0,-51.8
0.61,-0.79,2.0,-52.28
0.61,-0.8,2.0,-52.77
0.6,-0.8,2.0,-53.25
0.59,-0.81,2.0,-53.73
0.58,-0.81,2.0,-54.21
0.58,-0.82,2.0,-54.69
0.57,-0.82,2.0,-55.16
0.56,-0.83,2.0,-55.64
0.56,-0.83,2.0,-56.11
0.55,-0.83,2.0,-56.58
0.54,-0.84,2.0,-57.05
0.54,-0.84,2.0,-57.51
0.53,-0.85,2.0,-57.98
0.52,-0.85,2.0,-58.44
0.52,-0.86,2.0,-58.9
0.51,-0.86,2.0,-59.36
0.5,-0.86,2.0,-59.82
0.5,-0.87,2.0,-60.28
0.49,-0.87,2.0,-60.73
0.48,-0.88,2.0,-61.19
0.48,-0.88,2.0,-61.64
0.47,-0.88,2.0,-62.09
0.46,-0.89,2.0,-62.53
0.45,-0.89,2.0,-62.98
0.45,-0.89,2.0,-63.42
0.44,-0.9,2.0,-63.86
0.43,-0.9,2.0,-64.3
0.43,-0.9,2.0,-64.74
0.42,-0.91,2.0,-65.18
0.41,-0.91,2.0,-65.61
0.41,-0.91,2.0,-66.05
0.4,-0.92,2.0,-66.48
0.39,-0.92,2.0,-66.91
0.39,-0.92,2.0,-67.34
0.38,-0.93,2.0,-67.76
0.37,-0.93,2.0,-68.19
0.36,-0.93,2.0,-68.61
0.36,-0.93,2.0,-69.03
0.35,-0.94,2.0,-69.45
0.34,-0.94,2.0,-69.87
0.34,-0.94,2.0,-70.29
0.33,-0.94,2.0,-70.7
0.32,-0.95,2.0,-71.12
0.32,-0.95,2.0,-71.53
0.31,-0.95,2.0,-71.94
0.3,-0.95,2.0,-72.35
0.3,-0.96,2.0,-72.75
0.29,-0.96,2.0,-73.16
0.28,-0.96,2.0,-73.57
0.28,-0.96,2.0,-73.97
0.27,-0.96,2.0,-74.37
0.26,-0.96,2.0,-74.77
0.26,-0.97,2.0,-75.17
0.25,-0.97,2.0,-75.57
0.24,-0.97,2.0,-75.97
0.24,-0.97,2.0,-76.36
0.23,-0.97,2.0,-76.76
0.22,-0.97,2.0,-77.15
0.22,-0.98,2.0,-77.54
0.21,-0.98,2.0,-77.94
0.2,-0.98,2.0,-78.33
0.2,-0.98,2.0,-78.72
0.19,-0.98,2.0,-79.11
0.18,-0.98,2.0,-79.49
0.18,-0.98,2.0,-79.88
0.17,-0.99,2.0,-80.27
0.16,-0.99,2.0,-80.65
0.16,-0.99,2.0,-81.03
0.15,-0.99,2.0,-81.42
0.14,-0.99,2.0,-81.8
0.14,-0.99,2.0,-82.18
0.13,-0.99,2.0,-82.56
0.12,-0.99,2.0,-82.94
0.12,-0.99,2.0,-83.32
0.11,-0.99,2.0,-83.7
0.1,-0.99,2.0,-84.08
0.1,-1.0,2.0,-84.46
0.09,-1.0,2.0,-84.84
0.08,-1.0,2.0,-85.22
0.08,-1.0,2.0,-85.59
0.07,-1.0,2.0,-85.97
0.06,-1.0,2.0,-86.34
0.06,-1.0,2.0,-86.72
0.05,-1.0,2.0,-87.1
0.04,-1.0,2.0,-87.47
0.04,-1.0,2.0,-87.85
0.03,-1.0,2.0,-88.22
0.02,-1.0,2.0,-88.6
0.02,-1.0,2.0,-88.97
0.01,-1.0,2.0,-89.35
0.0,-1.0,2.0,-89.72
-0.0,-1.0,2.0,-90.09
-0.01,-1.0,2.0,-90.47
-0.01,-1.0,2.0,-90.84
-0.02,-1.0,2.0,-91.22
-0.03,-1.0,2.0,-91.59
-0.03,-1.0,2.0,-91.97
-0.04,-1.0,2.0,-92.34
-0.05,-1.0,2.0,-92.72
-0.05,-1.0,2.0,-93.09
-0.06,-1.0,2.0,-93.47
-0.07,-1.0,2.0,-93.84
-0.07,-1.0,2.0,-94.22
-0.08,-1.0,2.0,-94.6
-0.09,-1.0,2.0,-94.97
-0.09,-1.0,2.0,-95.35
-0.1,-1.0,2.0,-95.73
-0.11,-0.99,2.0,-96.11
-0.11,-0.99,2.0,-96.49
-0.12,-0.99,2.0,-96.87
-0.13,-0.99,2.0,-97.25
-0.13,-0.99,2.0,-97.63
-0.14,-0.99,2.0,-98.01
-0.15,-0.99,2.0,-98.39
-0.15,-0.99,2.0,-98.77
-0.16,-0.99,2.0,-99.16
-0.17,-0.99,2.0,-99.54
-0.17,-0.99,2.0,-99.93
-0.18,-0.98,2.0,-100.31
-0.19,-0.98,2.0,-100.7
-0.19,-0.98,2.0,-101.09
-0.2,-0.98,2.0,-101.48
-0.21,-0.98,2.0,-101.87
-0.21,-0.98,2.0,-102.26
-0.22,-0.98,2.0,-102.65
-0.23,-0.97,2.0,-103.04
-0.23,-0.97,2.0,-103.44
-0.24,-0.97,2.0,-103.83
-0.25,-0.97,2.0,-104.23
-0.25,-0.97,2.0,-104.63
-0.26,-0.97,2.0,-105.03
-0.27,-0.96,2.0,-105.43
-0.27,-0.96,2.0,-105.83
-0.28,-0.96,2.0,-106.23
-0.29,-0.96,2.0,-106.64
-0.29,-0.96,2.0,-107.04
-0.3,-0.95,2.0,-107.45
-0.31,-0.95,2.0,-107.86
