x,y,z,yaw
0.8,-0.6,2.0,-36.86
0.79,-0.61,2.0,-37.62
0.78,-0.62,2.0,-38.38
0.78,-0.63,2.0,-39.15
0.77,-0.64,2.0,-39.91
0.76,-0.65,2.0,-40.67
0.75,-0.66,2.0,-41.43
0.74,-0.67,2.0,-42.19
0.73,-0.68,2.0,-42.95
0.72,-0.69,2.0,-43.71
0.71,-0.7,2.0,-44.47
0.7,-0.71,2.0,-45.22
0.7,-0.72,2.0,-45.97
0.69,-0.73,2.0,-46.72
0.68,-0.74,2.0,-47.47
0.67,-0.75,2.0,-48.22
0.66,-0.75,2.0,-48.96
0.65,-0.76,2.0,-49.7
0.64,-0.77,2.0,-50.43
0.63,-0.78,2.0,-51.17
0.62,-0.79,2.0,-51.9
0.61,-0.79,2.0,-52.63
0.6,-0.8,2.0,-53.35
0.59,-0.81,2.0,-54.07
0.58,-0.82,2.0,-54.79
0.57,-0.82,2.0,-55.5
0.56,-0.83,2.0,-56.21
0.55,-0.84,2.0,-56.91
0.54,-0.84,2.0,-57.61
0.53,-0.85,2.0,-58.31
0.51,-0.86,2.0,-59.0
0.5,-0.86,2.0,-59.69
0.49,-0.87,2.0,-60.38
0.48,-0.88,2.0,-61.06
0.47,-0.88,2.0,-61.73
0.46,-0.89,2.0,-62.41
0.45,-0.89,2.0,-63.08
0.44,-0.9,2.0,-63.74
0.43,-0.9,2.0,-64.4
0.42,-0.91,2.0,-65.06
0.41,-0.91,2.0,-65.71
0.4,-0.92,2.0,-66.36
0.39,-0.92,2.0,-67.0
0.38,-0.92,2.0,-67.65
0.37,-0.93,2.0,-68.28
0.36,-0.93,2.0,-68.92
0.35,-0.94,2.0,-69.55
0.34,-0.94,2.0,-70.17
0.33,-0.94,2.0,-70.8
0.32,-0.95,2.0,-71.41
0.31,-0.95,2.0,-72.03
0.3,-0.95,2.0,-72.64
0.29,-0.96,2.0,-73.25
0.28,-0.96,2.0,-73.86
0.27,-0.96,2.0,-74.46
0.26,-0.97,2.0,-75.07
0.25,-0.97,2.0,-75.66
0.24,-0.97,2.0,-76.26
0.23,-0.97,2.0,-76.85
0.22,-0.98,2.0,-77.44
0.21,-0.98,2.0,-78.03
0.2,-0.98,2.0,-78.61
0.19,-0.98,2.0,-79.2
0.18,-0.98,2.0,-79.78
0.17,-0.99,2.0,-80.36
0.16,-0.99,2.0,-80.93
0.15,-0.99,2.0,-81.51
0.14,-0.99,2.0,-82.08
0.13,-0.99,2.0,-82.66
0.12,-0.99,2.0,-83.23
0.11,-0.99,2.0,-83.8
0.1,-1.0,2.0,-84.36
0.09,-1.0,2.0,-84.93
0.08,-1.0,2.0,-85.5
0.07,-1.0,2.0,-86.06
0.06,-1.0,2.0,-86.63
0.05,-1.0,2.0,-87.19
0.04,-1.0,2.0,-87.75
0.03,-1.0,2.0,-88.31
0.02,-1.0,2.0,-88.88
0.01,-1.0,2.0,-89.44
0.0,-1.0,2.0,-90.0
-0.01,-1.0,2.0,-90.56
-0.02,-1.0,2.0,-91.12
-0.03,-1.0,2.0,-91.69
-0.04,-1.0,2.0,-92.25
-0.05,-1.0,2.0,-92.81
-0.06,-1.0,2.0,-93.37
-0.07,-1.0,2.0,-93.94
-0.08,-1.0,2.0,-94.5
-0.09,-1.0,2.0,-95.07
-0.1,-1.0,2.0,-95.64
-0.11,-0.99,2.0,-96.2
-0.12,-0.99,2.0,-96.77
-0.13,-0.99,2.0,-97.35
-0.14,-0.99,2.0,-97.92
-0.15,-0.99,2.0,-98.49
-0.16,-0.99,2.0,-99.07
-0.17,-0.99,2.0,-99.64
-0.18,-0.98,2.0,-100.22
-0.19,-0.98,2.0,-100.8
-0.2,-0.98,2.0,-101.39
-0.21,-0.98,2.0,-101.97
-0.22,-0.98,2.0,-102.56
-0.23,-0.97,2.0,-103.15
-0.24,-0.97,2.0,-103.74
-0.25,-0.97,2.0,-104.34
-0.26,-0.97,2.0,-104.94
-0.27,-0.96,2.0,-105.54
-0.28,-0.96,2.0,-106.14
-0.29,-0.96,2.0,-106.75
-0.3,-0.95,2.0,-107.36
-0.31,-0.95,2.0,-107.97
-0.32,-0.95,2.0,-108.58
-0.33,-0.94,2.0,-109.2
-0.34,-0.94,2.0,-109.83
-0.35,-0.94,2.0,-110.45
-0.36,-0.93,2.0,-111.08
-0.37,-0.93,2.0,-111.72
-0.38,-0.92,2.0,-112.36
-0.39,-0.92,2.0,-113.0
-0.4,-0.92,2.0,-113.64
-0.41,-0.91,2.0,-114.29
-0.42,-0.91,2.0,-114.94
-0.43,-0.9,2.0,-115.6
-0.44,-0.9,2.0,-116.26
-0.45,-0.89,2.0,-116.92
-0.46,-0.89,2.0,-117.59
-0.47,-0.88,2.0,-118.27
-0.48,-0.88,2.0,-118.94
-0.49,-0.87,2.0,-119.62
-0.5,-0.86,2.0,-120.31
-0.51,-0.86,2.0,-121.0
-0.53,-0.85,2.0,-121.69
-0.54,-0.84,2.0,-122.39
-0.55,-0.84,2.0,-123.09
-0.56,-0.83,2.0,-123.79
-0.57,-0.82,2.0,-124.5
-0.58,-0.82,2.0,-125.21
-0.59,-0.81,2.0,-125.93
-0.6,-0.8,2.0,-126.65
-0.61,-0.79,2.0,-127.37
-0.62,-0.79,2.0,-128.1
-0.63,-0.78,2.0,-128.83
-0.64,-0.77,2.0,-129.56
-0.65,-0.76,2.0,-130.3
-0.66,-0.75,2.0,-131.04
-0.67,-0.75,2.0,-131.78
-0.68,-0.74,2.0,-132.53
-0.69,-0.73,2.0,-133.28
-0.7,-0.72,2.0,-134.03
-0.7,-0.71,2.0,-134.78
-0.71,-0.7,2.0,-135.53
-0.72,-0.69,2.0,-136.29
-0.73,-0.68,2.0,-137.05
-0.74,-0.67,2.0,-137.81
-0.75,-0.66,2.0,-138.57
-0.76,-0.65,2.0,-139.33
-0.77,-0.64,2.0,-140.09
-0.78,-0.63,2.0,-140.85
-0.78,-0.62,2.0,-141.62
-0.79,-0.61,2.0,-142.38
-0.8,-0.6,2.0,-143.14
-0.81,-0.59,2.0,-143.9
-0.82,-0.58,2.0,-144.66
-0.82,-0.57,2.0,-145.42
-0.83,-0.56,2.0,-146.18
-0.84,-0.55,2.0,-146.94
-0.85,-0.53,2.0,-147.69
-0.85,-0.52,2.0,-148.44
-0.86,-0.51,2.0,-149.19
-0.87,-0.5,2.0,-149.94
-0.87,-0.49,2.0,-150.69
-0.88,-0.48,2.0,-151.43
-0.88,-0.47,2.0,-152.16
-0.89,-0.46,2.0,-152.9
-0.9,-0.44,2.0,-153.63
-0.9,-0.43,2.0,-154.36
-0.91,-0.42,2.0,-155.08
-0.91,-0.41,2.0,-155.8
-0.92,-0.4,2.0,-156.51
-0.92,-0.39,2.0,-157.22
-0.93,-0.38,2.0,-157.92
-0.93,-0.36,2.0,-158.62
-0.94,-0.35,2.0,-159.31
-0.94,-0.34,2.0,-159.99
-0.94,-0.33,2.0,-160.67
-0.95,-0.32,2.0,-161.35
-0.95,-0.31,2.0,-162.02
-0.95,-0.3,2.0,-162.68
-0.96,-0.29,2.0,-163.34
-0.96,-0.28,2.0,-163.98
-0.96,-0.27,2.0,-164.63
-0.97,-0.25,2.0,-165.26
-0.97,-0.24,2.0,-165.89
-0.97,-0.23,2.0,-166.52
-0.97,-0.22,2.0,-167.13
-0.98,-0.21,2.0,-167.74
-0.98,-0.2,2.0,-168.34
-0.98,-0.19,2.0,-168.94
-0.98,-0.18,2.0,-169.53
-0.99,-0.17,2.0,-170.11
-0.99,-0.16,2.0,-170.68
-0.99,-0.15,2.0,-171.25
-0.99,-0.14,2.0,-171.81
-0.99,-0.13,2.0,-172.36
-0.99,-0.12,2.0,-172.91
-0.99,-0.11,2.0,-173.45
-0.99,-0.1,2.0,-173.98
-1.0,-0.1,2.0,-174.5
-1.0,-0.09,2.0,-175.02
-1.0,-0.08,2.0,-175.53
-1.0,-0.07,2.0,-176.04
-1.0,-0.06,2.0,-176.54
-1.0,-0.05,2.0,-177.03
-1.0,-0.04,2.0,-177.51
-1.0,-0.04,2.0,-177.99
-1.0,-0.03,2.0,-178.46
-1.0,-0.02,2.0,-178.92
-1.0,-0.01,2.0,-179.38
-1.0,-0.0,2.0,-179.83
-1.0,0.0,2.0,179.72
-1.0,0.01,2.0,179.28
-1.0,0.02,2.0,178.85
-1.0,0.03,2.0,178.42
-1.0,0.03,2.0,178.0
-1.0,0.04,2.0,177.59
-1.0,0.05,2.0,177.18
-1.0,0.06,2.0,176.78
-1.0,0.06,2.0,176.38
-1.0,0.07,2.0,175.99
-1.0,0.08,2.0,175.6
-1.0,0.08,2.0,175.22
-1.0,0.09,2.0,174.85
-1.0,0.1,2.0,174.48
-0.99,0.1,2.0,174.11
-0.99,0.11,2.0,173.75
-0.99,0.11,2.0,173.4
-0.99,0.12,2.0,173.05
-0.99,0.13,2.0,172.71
-0.99,0.13,2.0,172.37
-0.99,0.14,2.0,172.04
-0.99,0.14,2.0,171.71
-0.99,0.15,2.0,171.38
-0.99,0.16,2.0,171.06
-0.99,0.16,2.0,170.75
-0.99,0.17,2.0,170.44
-0.99,0.17,2.0,170.13
-0.98,0.18,2.0,169.83
-0.98,0.18,2.0,169.53
-0.98,0.19,2.0,169.24
-0.98,0.19,2.0,168.95
-0.98,0.2,2.0,168.66
-0.98,0.2,2.0,168.38
-0.98,0.21,2.0,168.1
-0.98,0.21,2.0,167.83
-0.98,0.22,2.0,167.56
-0.98,0.22,2.0,167.3
-0.97,0.22,2.0,167.03
-0.97,0.23,2.0,166.78
-0.97,0.23,2.0,166.52
-0.97,0.24,2.0,166.27
-0.97,0.24,2.0,166.02
-0.97,0.25,2.0,165.78
-0.97,0.25,2.0,165.54
-0.97,0.25,2.0,165.3
-0.97,0.26,2.0,165.07
-0.97,0.26,2.0,164.84
-0.96,0.27,2.0,164.61
-0.96,0.27,2.0,164.38
-0.96,0.27,2.0,164.16
-0.96,0.28,2.0,163.94
-0.96,0.28,2.0,163.73
-0.96,0.28,2.0,163.51
-0.96,0.29,2.0,163.3
-0.96,0.29,2.0,163.1
-0.96,0.29,2.0,162.89
-0.95,0.3,2.0,162.69
-0.95,0.3,2.0,162.49
-0.95,0.3,2.0,162.3
-0.95,0.31,2.0,162.1
-0.95,0.31,2.0,161.91
-0.95,0.31,2.0,161.72
-0.95,0.32,2.0,161.54
-0.95,0.32,2.0,161.35
-0.95,0.32,2.0,161.17
-0.95,0.33,2.0,160.99
-0.94,0.33,2.0,160.82
-0.94,0.33,2.0,160.64
-0.94,0.33,2.0,160.47
-0.94,0.34,2.0,160.3
-0.94,0.34,2.0,160.14
-0.94,0.34,2.0,159.97
-0.94,0.35,2.0,159.81
-0.94,0.35,2.0,159.65
-0.94,0.35,2.0,159.49
